Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
245,tt32482568,2024-09-02,2024-09-02,,"Cidade de Deus: A Luta Não Para: Episode #1.2","Cidade de Deus: A Luta Não Para: Episode #1.2",https://www.imdb.com/title/tt32482568/,Episódio de TV,7.6,,2024,"Policial, Drama",235,2024-09-01,,,
246,tt32482567,2024-09-16,2024-09-16,,"Cidade de Deus: A Luta Não Para: Episode #1.3","Cidade de Deus: A Luta Não Para: Episode #1.3",https://www.imdb.com/title/tt32482567/,Episódio de TV,8.1,,2024,"Policial, Drama",212,2024-09-08,,,
247,tt32482569,2024-09-16,2024-09-16,,"Cidade de Deus: A Luta Não Para: Episode #1.4","Cidade de Deus: A Luta Não Para: Episode #1.4",https://www.imdb.com/title/tt32482569/,Episódio de TV,7.6,,2024,"Policial, Drama",182,2024-09-15,"Bruno Costa",10,2024-09-16
248,tt2103188,2024-09-21,2024-09-21,,"Grand Theft Auto V","Grand Theft Auto V",https://www.imdb.com/title/tt2103188/,Videogame,9.4,,2013,"Ação, Policial, Drama, Suspense",82506,2013-09-17,,,
249,tt32482571,2024-09-23,2024-09-23,,"Cidade de Deus: A Luta Não Para: Episode #1.5","Cidade de Deus: A Luta Não Para: Episode #1.5",https://www.imdb.com/title/tt32482571/,Episódio de TV,7.8,,2024,"Policial, Drama",197,2024-09-22,"Aly Muritiba",,
250,tt17279496,2024-09-24,2024-09-24,,"Guerra Civil","Civil War",https://www.imdb.com/title/tt17279496/,Filme,7.0,109,2024,"Ação, Suspense, Guerra",259755,2024-04-18,"Alex Garland",,
251,tt29379378,2024-09-27,2024-09-27,,"Only Murders in the Building: Once Upon a Time in the West","Only Murders in the Building: Once Upon a Time in the West",https://www.imdb.com/title/tt29379378/,Episódio de TV,8.2,39,2024,"Comédia, Policial, Drama, Mistério, Suspense",3674,2024-08-27,"John Hoffman",,
252,tt32482572,2024-10-02,2024-10-02,,"Cidade de Deus: A Luta Não Para: Episode #1.6","Cidade de Deus: A Luta Não Para: Episode #1.6",https://www.imdb.com/title/tt32482572/,Episódio de TV,7.7,,2024,"Policial, Drama",162,2024-09-29,"Bruno Costa",10,2024-10-02
253,tt30252913,2024-10-08,2024-10-08,,"Only Murders in the Building: Gates of Heaven","Only Murders in the Building: Gates of Heaven",https://www.imdb.com/title/tt30252913/,Episódio de TV,8.0,36,2024,"Comédia, Policial, Drama, Mistério, Suspense",3084,2024-09-03,"John Hoffman",,
254,tt30252914,2024-10-09,2024-10-09,,"Only Murders in the Building: Two for the Road","Only Murders in the Building: Two for the Road",https://www.imdb.com/title/tt30252914/,Episódio de TV,7.5,40,2024,"Comédia, Policial, Drama, Mistério, Suspense",2890,2024-09-10,"Chris Koch",,
255,tt30252915,2024-10-09,2024-10-09,,"Only Murders in the Building: The Stunt Man","Only Murders in the Building: The Stunt Man",https://www.imdb.com/title/tt30252915/,Episódio de TV,7.4,35,2024,"Comédia, Policial, Drama, Mistério, Suspense",2818,2024-09-17,"Chris Koch",,
256,tt0113277,2024-10-09,2024-10-09,,"Fogo Contra Fogo","Heat",https://www.imdb.com/title/tt0113277/,Filme,8.3,170,1995,"Ação, Policial, Drama",787553,1996-02-23,"Michael Mann",,
257,tt0099685,2024-10-10,2024-10-10,,"Os Bons Companheiros","GoodFellas",https://www.imdb.com/title/tt0099685/,Filme,8.7,145,1990,"Biografia, Policial, Drama",1370361,1990-12-21,"Martin Scorsese",,
258,tt0099685,2024-10-22,2024-10-22,,"Os Bons Companheiros","GoodFellas",https://www.imdb.com/title/tt0099685/,Filme,8.7,145,1990,"Biografia, Policial, Drama",1370361,1990-12-21,"Martin Scorsese",,
