"CO_CURSO","NO_CURSO","FK_CO_IES"
2707,ARTES CÊNICAS,54
2709,MATEMÁTICA APLICADA E COMPUTACIONAL,54
2711,MATEMÁTICA,54
2712,ENGENHARIA DE COMPUTAÇÃO,54
2714,LINGUÍSTICA,54
2716,PEDAGOGIA,54
2717,CIÊNCIA DA COMPUTAÇÃO,54
2720,ENGENHARIA DE ALIMENTOS,54
2721,ENGENHARIA ELÉTRICA,54
2722,CIÊNCIAS BIOLÓGICAS,54
2723,ENGENHARIA QUÍMICA,54
2724,FÍSICA,54
2859,ABI - QUÍMICA,55
2860,DIREITO,55
2861,ABI - FÍSICA,55
2862,ABI - QUÍMICA,55
2863,EDUCAÇÃO FÍSICA,55
2865,CIÊNCIAS DE COMPUTAÇÃO,55
2867,ODONTOLOGIA,55
2868,ABI - MEDICINA,55
2869,CIÊNCIAS BIOLÓGICAS,55
2870,ODONTOLOGIA,55
2872,PSICOLOGIA,55
2875,ENGENHARIA AGRONÔMICA,55
2877,MEDICINA VETERINÁRIA,55
2878,PSICOLOGIA,55
2880,ARQUITETURA E URBANISMO,55
2883,CIÊNCIA DA COMPUTAÇÃO,55
2884,ENFERMAGEM,55
2885,ABI - FÍSICA,55
2886,ARQUITETURA E URBANISMO,55
2887,CIÊNCIAS CONTÁBEIS,55
2889,ESTATÍSTICA,55
2890,CIÊNCIAS SOCIAIS,55
2891,GEOLOGIA,55
2892,CIÊNCIAS BIOLÓGICAS,55
2893,METEOROLOGIA,55
2894,GEOFISICA,55
2895,ENGENHARIA FLORESTAL,55
2896,NUTRIÇÃO,55
2897,ODONTOLOGIA,55
2898,PEDAGOGIA,55
2899,CIÊNCIAS ECONÔMICAS,55
2900,ADMINISTRAÇÃO,55
2901,ABI - MATEMÁTICA APLICADA,55
2903,MATEMÁTICA,55
2905,ABI - QUÍMICA,55
2906,GEOGRAFIA,55
2907,HISTÓRIA,55
2908,FILOSOFIA,55
2909,ZOOTECNIA,55
2911,ABI - MÚSICA,55
2912,BIBLIOTECONOMIA,55
2913,ARTES CÊNICAS,55
2914,TURISMO,55
2915,ABI - ARTES CÊNICAS,55
2916,FISIOTERAPIA,55
2917,FONOAUDIOLOGIA,55
2918,MEDICINA,55
2919,TERAPIA OCUPACIONAL,55
2920,FONOAUDIOLOGIA,55
2921,MATEMÁTICA,55
2922,ABI - ARTES VISUAIS,55
2923,ESPORTE,55
2925,CIÊNCIAS CONTÁBEIS,55
2926,CIÊNCIAS ECONÔMICAS,55
2927,ADMINISTRAÇÃO,55
2928,ABI - CIÊNCIAS EXATAS,55
3127,ODONTOLOGIA,56
3128,FARMÁCIA E BIOQUÍMICA,56
3129,CIÊNCIAS ECONÔMICAS,56
3130,CIÊNCIAS SOCIAIS,56
3131,LETRAS,56
3132,PEDAGOGIA,56
3135,HISTÓRIA,56
3136,DIREITO,56
3137,SERVIÇO SOCIAL,56
3138,ZOOTECNIA,56
3139,ENGENHARIA AGRONÔMICA,56
3140,MEDICINA VETERINÁRIA,56
3142,CIÊNCIAS BIOLÓGICAS,56
3143,ECOLOGIA,56
3144,GEOGRAFIA,56
3145,MATEMÁTICA,56
3146,FÍSICA,56
3147,GEOLOGIA,56
3148,MEDICINA,56
3149,CIÊNCIAS BIOLÓGICAS,56
3150,QUÍMICA,56
